instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14033	14033	0.0
ta002	15151	15151	0.0
ta003	13313	13301	0.0009021878054281633
ta004	15484	15447	0.0023952871107658447
ta005	13529	13529	0.0
ta006	13123	13123	0.0
ta007	13585	13548	0.002731030410392678
ta008	13948	13948	0.0
ta009	14295	14295	0.0
ta010	12968	12943	0.0019315460094259445
ta011	20958	20911	0.002247620869398881
ta012	22440	22440	0.0
ta013	19833	19833	0.0
ta014	18724	18710	0.0007482629609834314
ta015	18679	18541	0.0074429642414109275
ta016	19249	19245	0.00020784619381657575
ta017	18377	18363	0.0007624026575178348
ta018	20275	20241	0.0016797589051924312
ta019	20348	20330	0.0008853910477127398
ta020	21337	21320	0.0007973733583489681
ta021	33623	33623	0.0
ta022	31587	31587	0.0
ta023	33920	33920	0.0
ta024	31707	31611	0.003036917528708361
ta025	34642	34557	0.002459704256735249
ta026	32564	32564	0.0
ta027	33069	32922	0.004465099325678877
ta028	32412	32412	0.0
ta029	33625	33600	0.000744047619047619
ta030	32290	32262	0.000867894116917736
ta031	65242	64802	0.006789913891546557
ta032	69076	68051	0.015062232737211797
ta033	64302	63162	0.018048826826256293
ta034	69343	68226	0.01637205757335913
ta035	70183	69351	0.011996943086617352
ta036	67544	66841	0.010517496746009186
ta037	66804	66253	0.008316604531115572
ta038	65295	64332	0.014969222160044768
ta039	63625	62981	0.010225306044680142
ta040	69664	68770	0.01299985458775629
ta041	89275	87114	0.024806575292145923
ta042	84731	82820	0.02307413668196088
ta043	81655	79931	0.021568602920018515
ta044	87418	86446	0.01124401360386831
ta045	88287	86377	0.022112367875707653
ta046	88723	86587	0.024668830193909017
ta047	89912	88750	0.013092957746478874
ta048	88799	86727	0.023891060454068514
ta049	87568	85441	0.024894371554640044
ta050	89727	87998	0.019648173822132322
ta051	128594	125831	0.021958023062679306
ta052	120443	119247	0.010029602421863862
ta053	119747	116459	0.02823311208236375
ta054	124107	120261	0.03198044253748098
ta055	121830	118184	0.030850199688621134
ta056	124245	120586	0.030343489293947888
ta057	126020	122880	0.025553385416666668
ta058	125373	122489	0.023544971385185607
ta059	125270	121872	0.027881711960089275
ta060	126637	123954	0.02164512641786469
ta061	256435	253266	0.012512536226733947
ta062	246214	242281	0.016233216801977868
ta063	240250	237832	0.010166840458811261
ta064	231078	227738	0.014665975814312938
ta065	243203	240301	0.01207652069695923
ta066	235607	232342	0.014052560449681934
ta067	243234	240366	0.011931803998901674
ta068	234493	230945	0.015362965208166447
ta069	250863	247921	0.011866683338644164
ta070	247320	242933	0.01805847702864576
ta071	306629	298385	0.027628734688405918
ta072	280358	274384	0.021772406554318037
ta073	297738	288114	0.033403444469897334
ta074	308191	301044	0.023740715642896055
ta075	292075	284681	0.025972931105342472
ta076	276711	269686	0.026048812322478736
ta077	289241	279463	0.0349885315766309
ta078	297617	290908	0.023062273983527438
ta079	311648	301970	0.032049541345166736
ta080	301456	291283	0.03492479822028749
ta081	385238	365463	0.05410944473175123
ta082	384453	372449	0.03222991604219638
ta083	384783	370027	0.039878171052382665
ta084	389525	372393	0.04600516121409371
ta085	382339	368915	0.03638778580431807
ta086	386661	370908	0.042471448445436606
ta087	390881	373408	0.04679331990744708
ta088	393558	384525	0.023491320460308173
ta089	389052	374423	0.03907078357900022
ta090	394610	379296	0.040374799628785964
ta091	1066363	1046314	0.01916155188595393
ta092	1049981	1034195	0.01526404594878142
ta093	1071973	1046902	0.023947800271658666
ta094	1048540	1030481	0.017524825785240096
ta095	1061082	1034027	0.02616469395866839
ta096	1024198	1006195	0.017892158080690123
ta097	1070231	1053051	0.016314499487679133
ta098	1053074	1044875	0.007846871635363082
ta099	1039745	1026137	0.013261387124721163
ta100	1044481	1030299	0.013764936198132774
ta101	1265952	1227733	0.031129732604727574
ta102	1285913	1245271	0.03263707257295802
ta103	1306901	1269673	0.029320935390450928
ta104	1284145	1238349	0.0369814971385288
ta105	1266991	1227214	0.032412439884160385
ta106	1269573	1227604	0.034187734806989875
ta107	1294472	1243707	0.04081749157960838
ta108	1289483	1246123	0.034795923034885
ta109	1267599	1234936	0.026449143923247844
ta110	1290899	1250596	0.032227034150117226
ta111	6766098	6698656	0.010067989757945475
ta112	6910869	6770735	0.020697014430486497
ta113	6865021	6739645	0.018602760234404037
ta114	6906592	6785991	0.017772054221704685
ta115	6853435	6729486	0.018418791568925175
ta116	6793374	6724085	0.01030459906440802
ta117	6810559	6691468	0.017797439963846497
ta118	6849816	6783916	0.009714153300247231
ta119	6789208	6711305	0.011607727558202168
ta120	6852563	6755722	0.014334663267671464
