instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14041	14033	0.0005700848001140169
ta002	15151	15151	0.0
ta003	13313	13301	0.0009021878054281633
ta004	15447	15447	0.0
ta005	13529	13529	0.0
ta006	13147	13123	0.0018288501104930274
ta007	13629	13548	0.0059787422497785654
ta008	13953	13948	0.0003584743332377402
ta009	14317	14295	0.0015389996502273523
ta010	12943	12943	0.0
ta011	20911	20911	0.0
ta012	22440	22440	0.0
ta013	19833	19833	0.0
ta014	18805	18710	0.005077498663816141
ta015	18641	18541	0.005393452348848498
ta016	19335	19245	0.004676539360872954
ta017	18376	18363	0.0007079453248379895
ta018	20241	20241	0.0
ta019	20330	20330	0.0
ta020	21332	21320	0.0005628517823639775
ta021	33623	33623	0.0
ta022	31597	31587	0.0003165859372526672
ta023	33920	33920	0.0
ta024	31738	31611	0.004017588814020436
ta025	34590	34557	0.0009549440055560378
ta026	32564	32564	0.0
ta027	33025	32922	0.0031286070105096897
ta028	32461	32412	0.0015117857583611008
ta029	33814	33600	0.006369047619047619
ta030	32279	32262	0.0005269357138429112
ta031	65082	64802	0.004320854294620536
ta032	68804	68051	0.011065230488898032
ta033	64300	63162	0.018017162217789175
ta034	69197	68226	0.01423211092545364
ta035	70158	69351	0.011636458017908899
ta036	67514	66841	0.010068670426833829
ta037	66767	66253	0.007758139254071514
ta038	65349	64332	0.015808617795187465
ta039	63635	62981	0.010384084088852193
ta040	69618	68770	0.012330958266686055
ta041	88918	87114	0.0207084969120922
ta042	84457	82820	0.01976575706351123
ta043	82159	79931	0.02787404136067358
ta044	88205	86446	0.02034796289012794
ta045	88257	86377	0.021765053197031616
ta046	88791	86587	0.025454167484726346
ta047	90737	88750	0.022388732394366197
ta048	88355	86727	0.01877154749962526
ta049	87831	85441	0.027972519048232114
ta050	90150	87998	0.02445510125230119
ta051	127887	125831	0.01633937582948558
ta052	120760	119247	0.01268795022096992
ta053	119528	116459	0.026352621952790253
ta054	123306	120261	0.025319929154089853
ta055	121416	118184	0.027347187436539633
ta056	123155	120586	0.02130429734795084
ta057	125850	122880	0.024169921875
ta058	125187	122489	0.022026467682812335
ta059	124496	121872	0.02153078639884469
ta060	127789	123954	0.03093889668748084
ta061	256778	253266	0.013866843555787196
ta062	245761	242281	0.01436348702539613
ta063	240357	237832	0.010616737865383969
ta064	230449	227738	0.01190403006964143
ta065	243502	240301	0.013320793504812713
ta066	235758	232342	0.014702464470478863
ta067	243738	240366	0.014028606375277702
ta068	234326	230945	0.014639849314771915
ta069	251048	247921	0.012612888783120429
ta070	247209	242933	0.01760156092420544
ta071	307032	298385	0.028979338773731923
ta072	281349	274384	0.02538413318560849
ta073	295886	288114	0.02697543333541584
ta074	308819	301044	0.025826789439417495
ta075	292192	284681	0.0263839174374124
ta076	276938	269686	0.026890531951973776
ta077	289874	279463	0.03725358992066928
ta078	297424	290908	0.022398833995627483
ta079	311230	301970	0.030665297877272575
ta080	300683	291283	0.032271021652482294
ta081	385122	365463	0.053792039139393046
ta082	384727	372449	0.032965587234762346
ta083	383277	370027	0.03580819778016199
ta084	392641	372393	0.05437266543678319
ta085	382512	368915	0.036856728514698504
ta086	390726	370908	0.05343103950305736
ta087	390749	373408	0.04643981917902134
ta088	395097	384525	0.027493661010337428
ta089	389885	374423	0.04129554007098923
ta090	393486	379296	0.03741141483168818
ta091	1068287	1046314	0.021000388028832646
ta092	1052290	1034195	0.01749670033214239
ta093	1076466	1046902	0.028239510479490918
ta094	1049378	1030481	0.018338038255921264
ta095	1063584	1034027	0.028584359982863117
ta096	1025295	1006195	0.018982404007175546
ta097	1071114	1053051	0.01715301538102143
ta098	1053983	1044875	0.008716832156956573
ta099	1038827	1026137	0.012366769739323307
ta100	1044494	1030299	0.013777553894549058
ta101	1267373	1227733	0.03228715038204561
ta102	1291318	1245271	0.03697749325247276
ta103	1303192	1269673	0.026399710791676283
ta104	1280757	1238349	0.034245596354501036
ta105	1262434	1227214	0.028699151085303784
ta106	1271670	1227604	0.03589594038468431
ta107	1293230	1243707	0.03981886408937153
ta108	1288502	1246123	0.034008681326000725
ta109	1267544	1234936	0.026404607202316556
ta110	1293281	1250596	0.034131725993046515
ta111	6765712	6698656	0.010010366258544998
ta112	6916721	6770735	0.02156132236751254
ta113	6871170	6739645	0.019515122829169784
ta114	6919252	6785991	0.019637662354695135
ta115	6857476	6729486	0.019019283196368936
ta116	6793374	6724085	0.01030459906440802
ta117	6809623	6691468	0.01765756034400822
ta118	6852579	6783916	0.010121440182926794
ta119	6787989	6711305	0.011426093732888016
ta120	6853392	6755722	0.01445737406009306
