instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14033	14033	0.0
ta002	15151	15151	0.0
ta003	13301	13301	0.0
ta004	15503	15447	0.0036252994108888457
ta005	13529	13529	0.0
ta006	13147	13123	0.0018288501104930274
ta007	13559	13548	0.0008119279598464718
ta008	13953	13948	0.0003584743332377402
ta009	14295	14295	0.0
ta010	12943	12943	0.0
ta011	20958	20911	0.002247620869398881
ta012	22440	22440	0.0
ta013	19872	19833	0.0019664196036908183
ta014	18750	18710	0.002137894174238375
ta015	18644	18541	0.0055552559193139525
ta016	19350	19245	0.005455962587685113
ta017	18363	18363	0.0
ta018	20241	20241	0.0
ta019	20330	20330	0.0
ta020	21323	21320	0.00014071294559099437
ta021	33623	33623	0.0
ta022	31597	31587	0.0003165859372526672
ta023	33920	33920	0.0
ta024	31698	31611	0.0027522065103919523
ta025	34586	34557	0.0008391932170037908
ta026	32564	32564	0.0
ta027	32922	32922	0.0
ta028	32412	32412	0.0
ta029	33623	33600	0.0006845238095238096
ta030	32262	32262	0.0
ta031	65271	64802	0.007237430943489398
ta032	68800	68051	0.011006451044069889
ta033	63777	63162	0.009736867103638263
ta034	68995	68226	0.011271362823557002
ta035	69933	69351	0.008392092399532812
ta036	67621	66841	0.011669484298559267
ta037	66804	66253	0.008316604531115572
ta038	65372	64332	0.0161661381583038
ta039	63649	62981	0.010606373350693065
ta040	69600	68770	0.012069216228006397
ta041	89718	87114	0.029891865830980094
ta042	84786	82820	0.023738227481284714
ta043	81906	79931	0.024708811349789195
ta044	87674	86446	0.014205399902829511
ta045	88338	86377	0.022702802829456914
ta046	88817	86587	0.025754443507685913
ta047	90255	88750	0.01695774647887324
ta048	88082	86727	0.015623738858717585
ta049	87729	85441	0.026778712795964468
ta050	90119	87998	0.024102820518648153
ta051	128572	125831	0.021783185383570026
ta052	121894	119247	0.02219762342029569
ta053	119408	116459	0.02532221640233902
ta054	123473	120261	0.02670857551492171
ta055	121748	118184	0.030156366344005956
ta056	123900	120586	0.027482460650490106
ta057	126159	122880	0.0266845703125
ta058	124878	122489	0.019503792177256733
ta059	124975	121872	0.025461139556255744
ta060	126258	123954	0.018587540539232297
ta061	256881	253266	0.014273530596290067
ta062	246094	242281	0.015737924145929727
ta063	240286	237832	0.01031820781055535
ta064	230551	227738	0.012351913163371945
ta065	243433	240301	0.013033653626077295
ta066	235545	232342	0.013785712441142798
ta067	242761	240366	0.009963971609961476
ta068	234734	230945	0.016406503713005262
ta069	250985	247921	0.012358775577704187
ta070	246377	242933	0.014176748321553679
ta071	306701	298385	0.02787003368131776
ta072	280163	274384	0.021061723715668553
ta073	296491	288114	0.029075296583991057
ta074	308831	301044	0.02586665072215357
ta075	292019	284681	0.02577621969853977
ta076	276545	269686	0.025433281668310555
ta077	289982	279463	0.0376400453727327
ta078	297923	290908	0.02411415292807348
ta079	311732	301970	0.03232771467364308
ta080	300760	291283	0.03253536938303986
ta081	384279	365463	0.05148537608458312
ta082	385009	372449	0.03372273787820614
ta083	383082	370027	0.035281209209057716
ta084	390798	372393	0.04942359281726563
ta085	381705	368915	0.03466923275009148
ta086	388907	370908	0.04852685841232866
ta087	391756	373408	0.04913660125117834
ta088	394246	384525	0.025280540927117873
ta089	393758	374423	0.05163945590949274
ta090	394141	379296	0.03913829832110014
ta091	1068169	1046314	0.02088761117599497
ta092	1051548	1034195	0.016779234090282782
ta093	1076304	1046902	0.028084768201799212
ta094	1050025	1030481	0.01896590039020613
ta095	1062921	1034027	0.027943177499233578
ta096	1025101	1006195	0.018789598437678582
ta097	1071197	1053051	0.017231833975752363
ta098	1053670	1044875	0.008417274793635602
ta099	1039669	1026137	0.01318732294030914
ta100	1045199	1030299	0.014461821277124408
ta101	1274636	1227733	0.038202931744931515
ta102	1293752	1245271	0.03893208787484813
ta103	1305182	1269673	0.02796704348284952
ta104	1283395	1238349	0.03637585204171037
ta105	1267368	1227214	0.03271963976942897
ta106	1270947	1227604	0.03530698824702429
ta107	1293382	1243707	0.03994107936998023
ta108	1287774	1246123	0.033424469334086604
ta109	1267656	1234936	0.026495300161303907
ta110	1291657	1250596	0.03283314515638943
ta111	6762933	6698656	0.009595506919597006
ta112	6913876	6770735	0.021141131649665804
ta113	6871170	6739645	0.019515122829169784
ta114	6907251	6785991	0.017869166051060193
ta115	6851977	6729486	0.0182021331198252
ta116	6793473	6724085	0.010319322257229051
ta117	6804163	6691468	0.0168415958949516
ta118	6852778	6783916	0.0101507742725588
ta119	6789282	6711305	0.011618753729714265
ta120	6856885	6755722	0.014974417242154132
