instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14041	14033	0.0005700848001140169
ta002	15447	15151	0.019536664246584384
ta003	13475	13301	0.013081723178708368
ta004	15570	15447	0.007962711206059429
ta005	13611	13529	0.0060610540320792375
ta006	13298	13123	0.01333536538901166
ta007	13652	13548	0.007676409802184824
ta008	14062	13948	0.008173214797820476
ta009	14381	14295	0.006016089541797831
ta010	13091	12943	0.011434752375801592
ta011	21225	20911	0.015016020276409546
ta012	22804	22440	0.01622103386809269
ta013	20158	19833	0.01638683003075682
ta014	18843	18710	0.007108498129342598
ta015	18753	18541	0.011434118979558816
ta016	19541	19245	0.015380618342426605
ta017	18480	18363	0.006371507923541905
ta018	20305	20241	0.003161899115656341
ta019	20581	20330	0.01234628627643876
ta020	21349	21320	0.0013602251407129457
ta021	33971	33623	0.010350057996014633
ta022	31811	31587	0.007091524994459746
ta023	34055	33920	0.003979952830188679
ta024	31888	31611	0.00876277245262725
ta025	34605	34557	0.0013890094626269642
ta026	32636	32564	0.0022110305859231053
ta027	33117	32922	0.005923090942227083
ta028	32561	32412	0.0045970628162408985
ta029	33815	33600	0.006398809523809524
ta030	32734	32262	0.014630215113756121
ta031	65656	64802	0.013178605598592637
ta032	68977	68051	0.013607441477715244
ta033	65036	63162	0.02966973813368798
ta034	69707	68226	0.021707267024301587
ta035	70915	69351	0.02255194589840089
ta036	68194	66841	0.020242066994808575
ta037	66949	66253	0.010505184670882827
ta038	65832	64332	0.02331654542063048
ta039	64254	62981	0.020212445023102207
ta040	70441	68770	0.02429838592409481
ta041	90126	87114	0.03457538397961292
ta042	86455	82820	0.04389036464622072
ta043	82438	79931	0.031364551926036204
ta044	88720	86446	0.026305439233741294
ta045	89237	86377	0.03311066603378214
ta046	90149	86587	0.04113781514546064
ta047	91386	88750	0.029701408450704226
ta048	90018	86727	0.0379466602096233
ta049	88242	85441	0.03278285600589881
ta050	90578	87998	0.029318848155639902
ta051	131928	125831	0.048453878614967694
ta052	122625	119247	0.02832775667312385
ta053	120755	116459	0.036888518706154096
ta054	125983	120261	0.047579847165747834
ta055	125740	118184	0.06393420429161308
ta056	125398	120586	0.03990512994875027
ta057	127310	122880	0.036051432291666664
ta058	129797	122489	0.05966250030614994
ta059	126693	121872	0.03955789680976762
ta060	129120	123954	0.041676751052809914
ta061	257757	253266	0.017732344649498945
ta062	246734	242281	0.018379484978186485
ta063	240581	237832	0.011558579165124962
ta064	231670	227738	0.017265454162239065
ta065	244559	240301	0.017719443531237906
ta066	236209	232342	0.016643568532594192
ta067	244521	240366	0.01728613863857617
ta068	235019	230945	0.017640563770594732
ta069	252251	247921	0.017465240943687708
ta070	249258	242933	0.02603598523049565
ta071	309222	298385	0.03631884980813379
ta072	283111	274384	0.03180579042509767
ta073	301080	288114	0.045003019638059936
ta074	310897	301044	0.03272943489988175
ta075	293871	284681	0.03228174693780055
ta076	278074	269686	0.031102838115437955
ta077	292991	279463	0.04840712366216637
ta078	299546	290908	0.02969323634963631
ta079	316193	301970	0.047100705368082925
ta080	305944	291283	0.05033249451564286
ta081	386336	365463	0.05711385283872786
ta082	391484	372449	0.051107668432456524
ta083	390887	370027	0.05637426458069276
ta084	397248	372393	0.06674400431801887
ta085	387490	368915	0.05035035170703279
ta086	393455	370908	0.06078865918233093
ta087	398992	373408	0.06851486845488046
ta088	404754	384525	0.0526077628242637
ta089	399619	374423	0.0672928746364406
ta090	400815	379296	0.056734054669703875
ta091	1072711	1046314	0.025228564274204494
ta092	1054022	1034195	0.0191714328535721
ta093	1084553	1046902	0.035964206773890964
ta094	1058423	1030481	0.027115492667987087
ta095	1069314	1034027	0.03412580135721795
ta096	1028389	1006195	0.02205735468770964
ta097	1072026	1053051	0.018019070301438393
ta098	1056050	1044875	0.010695059217609762
ta099	1044260	1026137	0.017661384396040685
ta100	1055114	1030299	0.02408524127462028
ta101	1276718	1227733	0.03989874019839819
ta102	1303791	1245271	0.04699378689457957
ta103	1309540	1269673	0.03139942331608217
ta104	1288728	1238349	0.04068239244348726
ta105	1272066	1227214	0.03654782295508363
ta106	1278618	1227604	0.041555745989749135
ta107	1303158	1243707	0.047801451628076384
ta108	1298078	1246123	0.041693315988871084
ta109	1276789	1234936	0.03389082511158473
ta110	1295292	1250596	0.035739759282773974
ta111	6770710	6698656	0.010756486077207129
ta112	6917121	6770735	0.021620400148580618
ta113	6871170	6739645	0.019515122829169784
ta114	6921363	6785991	0.019948744405938645
ta115	6861538	6729486	0.01962289541875858
ta116	6793473	6724085	0.010319322257229051
ta117	6810722	6691468	0.017821799342087566
ta118	6852778	6783916	0.0101507742725588
ta119	6789282	6711305	0.011618753729714265
ta120	6860331	6755722	0.015484503358782377
