instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14041	14033	0.0005700848001140169
ta002	15252	15151	0.006666226651706158
ta003	13609	13301	0.02315615367265619
ta004	15496	15447	0.00317213698452774
ta005	13649	13529	0.008869835168896445
ta006	13170	13123	0.0035814981330488456
ta007	13659	13548	0.008193091231178033
ta008	13953	13948	0.0003584743332377402
ta009	14381	14295	0.006016089541797831
ta010	13044	12943	0.0078034458780808155
ta011	20958	20911	0.002247620869398881
ta012	22713	22440	0.012165775401069518
ta013	19980	19833	0.007411889275450008
ta014	18904	18710	0.010368786745056119
ta015	18789	18541	0.013375761825144274
ta016	19350	19245	0.005455962587685113
ta017	18581	18363	0.011871698524206284
ta018	20275	20241	0.0016797589051924312
ta019	20330	20330	0.0
ta020	21389	21320	0.0032363977485928706
ta021	33935	33623	0.009279362341254498
ta022	31794	31587	0.006553328901130212
ta023	34070	33920	0.004422169811320755
ta024	31770	31611	0.005029894656923223
ta025	34671	34557	0.00329889747373904
ta026	32649	32564	0.002610244441714777
ta027	33053	32922	0.003979102120162809
ta028	32561	32412	0.0045970628162408985
ta029	33894	33600	0.00875
ta030	32557	32262	0.009143884446097575
ta031	65467	64802	0.010262028949723775
ta032	69076	68051	0.015062232737211797
ta033	64729	63162	0.024809220733985626
ta034	69640	68226	0.020725236713276463
ta035	70779	69351	0.020590907124626898
ta036	68086	66841	0.018626292245777294
ta037	66837	66253	0.008814695183614328
ta038	65512	64332	0.01834234906422931
ta039	64038	62981	0.016782839268985883
ta040	70275	68770	0.02188454267849353
ta041	90169	87114	0.035068990059003144
ta042	85287	82820	0.02978749094421637
ta043	82151	79931	0.02777395503621874
ta044	88658	86446	0.02558822848946163
ta045	88669	86377	0.026534841450849184
ta046	89504	86587	0.03368865996050215
ta047	90764	88750	0.022692957746478875
ta048	89996	86727	0.03769299064881755
ta049	87627	85441	0.02558490654369682
ta050	90384	87998	0.027114252596649922
ta051	131405	125831	0.04429751015250614
ta052	122336	119247	0.02590421561968016
ta053	120406	116459	0.0338917558969251
ta054	125726	120261	0.04544282851464731
ta055	125249	118184	0.05977966560617343
ta056	124985	120586	0.03648018841324863
ta057	129179	122880	0.05126139322916667
ta058	128384	122489	0.04812677056715297
ta059	126794	121872	0.040386635158198764
ta060	128073	123954	0.033230069219226485
ta061	257758	253266	0.017736293067367907
ta062	246638	242281	0.01798325085334797
ta063	240572	237832	0.01152073732718894
ta064	231473	227738	0.01640042504983797
ta065	244495	240301	0.017453110890092008
ta066	236100	232342	0.01617443251758184
ta067	244256	240366	0.01618365326210862
ta068	234747	230945	0.0164627941717725
ta069	252048	247921	0.016646431726235374
ta070	248278	242933	0.0220019511552568
ta071	308913	298385	0.035283274963553796
ta072	282998	274384	0.03139395883141874
ta073	300849	288114	0.04420125367042212
ta074	310333	301044	0.030855954611286058
ta075	293373	284681	0.03053242049873367
ta076	277691	269686	0.02968266799166438
ta077	291803	279463	0.04415611368946873
ta078	298927	290908	0.027565415870309515
ta079	315233	301970	0.043921581614067624
ta080	304251	291283	0.04452027753078621
ta081	387588	365463	0.06053964423211105
ta082	391062	372449	0.04997462739865055
ta083	390198	370027	0.05451223829612434
ta084	397025	372393	0.0661451745870626
ta085	386697	368915	0.04820080506349701
ta086	393853	370908	0.06186170155402418
ta087	398132	373408	0.0662117576484703
ta088	404319	384525	0.05147649697678955
ta089	398520	374423	0.06435769170163158
ta090	398908	379296	0.051706319075339575
ta091	1072771	1046314	0.02528590843666433
ta092	1054338	1034195	0.01947698451452579
ta093	1081639	1046902	0.03318075617393032
ta094	1057491	1030481	0.026211060660021872
ta095	1068377	1034027	0.033219635464064284
ta096	1028389	1006195	0.02205735468770964
ta097	1072522	1053051	0.01849008262657744
ta098	1056016	1044875	0.010662519440124417
ta099	1043880	1026137	0.01729106347398057
ta100	1053471	1030299	0.022490558566008508
ta101	1276718	1227733	0.03989874019839819
ta102	1300450	1245271	0.04431083675762143
ta103	1310127	1269673	0.03186174707975991
ta104	1287094	1238349	0.03936289365921885
ta105	1271579	1227214	0.036150989151036414
ta106	1277350	1227604	0.04052283961277415
ta107	1302599	1243707	0.04735198885267993
ta108	1294406	1246123	0.03874657638130425
ta109	1271801	1234936	0.02985174940239818
ta110	1295303	1250596	0.0357485550889336
ta111	6770710	6698656	0.010756486077207129
ta112	6917121	6770735	0.021620400148580618
ta113	6871170	6739645	0.019515122829169784
ta114	6913040	6785991	0.018722247052788604
ta115	6861538	6729486	0.01962289541875858
ta116	6793473	6724085	0.010319322257229051
ta117	6810722	6691468	0.017821799342087566
ta118	6852778	6783916	0.0101507742725588
ta119	6789282	6711305	0.011618753729714265
ta120	6860331	6755722	0.015484503358782377
