instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14041	14033	0.0005700848001140169
ta002	15244	15151	0.006138208699095769
ta003	13301	13301	0.0
ta004	15565	15447	0.007639023758658639
ta005	13529	13529	0.0
ta006	13182	13123	0.004495923188295359
ta007	13644	13548	0.0070859167404783
ta008	14004	13948	0.00401491253226269
ta009	14381	14295	0.006016089541797831
ta010	12943	12943	0.0
ta011	21011	20911	0.00478217206255081
ta012	22588	22440	0.006595365418894831
ta013	19895	19833	0.0031261029597136085
ta014	18820	18710	0.005879208979155532
ta015	18739	18541	0.010679035650720026
ta016	19350	19245	0.005455962587685113
ta017	18363	18363	0.0
ta018	20241	20241	0.0
ta019	20479	20330	0.0073290703393999014
ta020	21372	21320	0.0024390243902439024
ta021	33893	33623	0.008030217410701009
ta022	31839	31587	0.007977965618767215
ta023	34065	33920	0.004274764150943396
ta024	31863	31611	0.007971908512859447
ta025	34968	34557	0.01189339352374338
ta026	32564	32564	0.0
ta027	33038	32922	0.003523479739991495
ta028	32561	32412	0.0045970628162408985
ta029	33890	33600	0.008630952380952382
ta030	32500	32262	0.007377099993800756
ta031	65399	64802	0.009212678621030215
ta032	69076	68051	0.015062232737211797
ta033	64445	63162	0.02031284633165511
ta034	69470	68226	0.01823351801366048
ta035	70697	69351	0.019408516099263168
ta036	68013	66841	0.01753414820245059
ta037	66831	66253	0.008724133246796372
ta038	65800	64332	0.022819125784990364
ta039	63730	62981	0.011892475508486686
ta040	69533	68770	0.01109495419514323
ta041	90098	87114	0.034253966067451846
ta042	85502	82820	0.03238348225066409
ta043	82198	79931	0.028361962192390937
ta044	88746	86446	0.026606205029729543
ta045	89190	86377	0.032566539703856354
ta046	89988	86587	0.03927841361867255
ta047	90715	88750	0.022140845070422535
ta048	89549	86727	0.03253888639062806
ta049	87656	85441	0.025924322046792524
ta050	90429	87998	0.02762562785517853
ta051	129985	125831	0.03301253268272524
ta052	121782	119247	0.02125839643764623
ta053	120351	116459	0.03341948668630162
ta054	124617	120261	0.036221218849003416
ta055	124118	118184	0.05020984227983483
ta056	124100	120586	0.029141027980030848
ta057	127110	122880	0.034423828125
ta058	127005	122489	0.03686861677375111
ta059	125921	121872	0.03322338190888802
ta060	127873	123954	0.031616567436307016
ta061	257140	253266	0.015296170824350683
ta062	246409	242281	0.0170380673680561
ta063	240581	237832	0.011558579165124962
ta064	231013	227738	0.014380560117327806
ta065	244124	240301	0.015909213860949394
ta066	236090	232342	0.01613139251620456
ta067	244406	240366	0.016807701588411005
ta068	234768	230945	0.01655372491285804
ta069	252066	247921	0.016719035499211443
ta070	247733	242933	0.019758534246067844
ta071	307834	298385	0.03166714144477772
ta072	282454	274384	0.029411335937955568
ta073	299000	288114	0.03778365508097489
ta074	310052	301044	0.029922536240549556
ta075	293342	284681	0.030423526684253605
ta076	277348	269686	0.028410818507449403
ta077	291370	279463	0.04260671358999223
ta078	298611	290908	0.026479161796856738
ta079	313497	301970	0.03817266615888996
ta080	303521	291283	0.042014123721604076
ta081	386810	365463	0.05841083775922597
ta082	390602	372449	0.04873955897317485
ta083	390463	370027	0.05522840225172758
ta084	396018	372393	0.06344104212485197
ta085	385202	368915	0.044148381063388586
ta086	392819	370908	0.05907394825671056
ta087	398224	373408	0.06645813694403976
ta088	403617	384525	0.04965086795396918
ta089	395639	374423	0.05666318575514859
ta090	399370	379296	0.052924365139627096
ta091	1070836	1046314	0.023436559197334644
ta092	1054262	1034195	0.019403497406195156
ta093	1079606	1046902	0.03123883610882394
ta094	1055878	1030481	0.024645772217052036
ta095	1068361	1034027	0.03320416198029645
ta096	1026657	1006195	0.02033601836622126
ta097	1072062	1053051	0.018053256679875902
ta098	1055502	1044875	0.010170594568728316
ta099	1042403	1026137	0.01585168452165744
ta100	1050262	1030299	0.019375928735250642
ta101	1275616	1227733	0.03900115090170257
ta102	1297105	1245271	0.04162467446844904
ta103	1308960	1269673	0.030942612782976404
ta104	1285489	1238349	0.038066813152027416
ta105	1266097	1227214	0.03168396058063223
ta106	1274374	1227604	0.03809860508763412
ta107	1296418	1243707	0.04238216879055919
ta108	1291988	1246123	0.03680615797958949
ta109	1270698	1234936	0.028958585708085276
ta110	1296135	1250596	0.036413837882097816
ta111	6770710	6698656	0.010756486077207129
ta112	6909747	6770735	0.020531301254590528
ta113	6870769	6739645	0.019455624146375663
ta114	6919252	6785991	0.019637662354695135
ta115	6861538	6729486	0.01962289541875858
ta116	6793473	6724085	0.010319322257229051
ta117	6810722	6691468	0.017821799342087566
ta118	6852778	6783916	0.0101507742725588
ta119	6789282	6711305	0.011618753729714265
ta120	6860331	6755722	0.015484503358782377
