instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14041	14033	0.0005700848001140169
ta002	15258	15151	0.00706224011616395
ta003	13399	13301	0.007367867077663333
ta004	15541	15447	0.006085324011134848
ta005	13618	13529	0.006578461083598197
ta006	13263	13123	0.010668292311209327
ta007	13743	13548	0.014393268379096545
ta008	14062	13948	0.008173214797820476
ta009	14352	14295	0.003987408184679958
ta010	13091	12943	0.011434752375801592
ta011	21209	20911	0.014250872746401416
ta012	22810	22440	0.016488413547237075
ta013	19960	19833	0.006403468965864973
ta014	18904	18710	0.010368786745056119
ta015	18713	18541	0.009276738040019416
ta016	19422	19245	0.009197194076383476
ta017	18363	18363	0.0
ta018	20399	20241	0.007805938441776592
ta019	20463	20330	0.0065420560747663555
ta020	21343	21320	0.001078799249530957
ta021	33875	33623	0.007494869583320941
ta022	31662	31587	0.002374394529395004
ta023	33920	33920	0.0
ta024	31916	31611	0.009648540065167188
ta025	34671	34557	0.00329889747373904
ta026	32564	32564	0.0
ta027	33097	32922	0.005315594435331997
ta028	32515	32412	0.0031778353696161913
ta029	33625	33600	0.000744047619047619
ta030	32334	32262	0.0022317277292170355
ta031	65422	64802	0.00956760593808833
ta032	69044	68051	0.014591997178586648
ta033	64932	63162	0.02802317849339793
ta034	69568	68226	0.01966992055814499
ta035	70711	69351	0.019610387737739904
ta036	68026	66841	0.01772863960742658
ta037	66900	66253	0.009765595520202858
ta038	65515	64332	0.018388982155070573
ta039	63967	62981	0.015655515155364317
ta040	70146	68770	0.020008724734622656
ta041	90098	87114	0.034253966067451846
ta042	85187	82820	0.028580053127263947
ta043	82021	79931	0.02614755226382755
ta044	88996	86446	0.02949818383730884
ta045	89221	86377	0.03292543153848825
ta046	90142	86587	0.04105697160081768
ta047	90920	88750	0.024450704225352112
ta048	90273	86727	0.040886921028053545
ta049	87499	85441	0.024086796736929577
ta050	90317	87998	0.026352871656174004
ta051	130252	125831	0.03513442633373334
ta052	122342	119247	0.025954531350893522
ta053	120411	116459	0.03393468946152723
ta054	124621	120261	0.036254479839682024
ta055	124905	118184	0.05686895011169025
ta056	124471	120586	0.03221767037632893
ta057	127411	122880	0.03687337239583333
ta058	128063	122489	0.04550612708079909
ta059	126172	121872	0.035282919784692134
ta060	128413	123954	0.035973022250189585
ta061	257578	253266	0.017025577850955122
ta062	246375	242281	0.01689773444884246
ta063	240581	237832	0.011558579165124962
ta064	231589	227738	0.01690978229368836
ta065	244391	240301	0.01702032034822993
ta066	236120	232342	0.0162605125203364
ta067	244186	240366	0.01589243070983417
ta068	234851	230945	0.01691311784191041
ta069	252077	247921	0.016763404471585707
ta070	248477	242933	0.022821107054208364
ta071	308141	298385	0.032696013539554605
ta072	283061	274384	0.031623564056213194
ta073	299110	288114	0.038165448398897656
ta074	310162	301044	0.03028793133229694
ta075	293241	284681	0.030068743611270158
ta076	277947	269686	0.030631920084839406
ta077	292603	279463	0.0470187466677163
ta078	299000	290908	0.02781635431132867
ta079	314976	301970	0.04307050369241978
ta080	305137	291283	0.04756199297590316
ta081	386841	365463	0.058495661667528585
ta082	390797	372449	0.04926312058832216
ta083	390589	370027	0.05556891794382572
ta084	395261	372393	0.06140824344174031
ta085	385911	368915	0.04607023298049686
ta086	392538	370908	0.05831634798925879
ta087	397915	373408	0.06563062387522496
ta088	403959	384525	0.0505402769650868
ta089	396456	374423	0.05884520982952436
ta090	401078	379296	0.057427444528811274
ta091	1072771	1046314	0.02528590843666433
ta092	1054338	1034195	0.01947698451452579
ta093	1080295	1046902	0.031896968388636184
ta094	1056939	1030481	0.02567538848363046
ta095	1068595	1034027	0.033430461680400994
ta096	1027330	1006195	0.02100487480061022
ta097	1072402	1053051	0.018376128031785736
ta098	1055974	1044875	0.010622323244407227
ta099	1042403	1026137	0.01585168452165744
ta100	1051152	1030299	0.020239755643750017
ta101	1277146	1227733	0.04024735019747779
ta102	1301362	1245271	0.04504320746247202
ta103	1314253	1269673	0.03511140269975025
ta104	1287637	1238349	0.03980138070931539
ta105	1271054	1227214	0.035723190902320213
ta106	1277350	1227604	0.04052283961277415
ta107	1302502	1243707	0.047273996206502016
ta108	1294924	1246123	0.039162265683243144
ta109	1271989	1234936	0.030003984012126943
ta110	1295303	1250596	0.0357485550889336
ta111	6770710	6698656	0.010756486077207129
ta112	6909747	6770735	0.020531301254590528
ta113	6870769	6739645	0.019455624146375663
ta114	6919522	6785991	0.01967745020587266
ta115	6861538	6729486	0.01962289541875858
ta116	6793473	6724085	0.010319322257229051
ta117	6804163	6691468	0.0168415958949516
ta118	6852778	6783916	0.0101507742725588
ta119	6789282	6711305	0.011618753729714265
ta120	6860331	6755722	0.015484503358782377
