instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14060	14033	0.0019240362003848073
ta002	15311	15151	0.010560359052207775
ta003	13313	13301	0.0009021878054281633
ta004	15585	15447	0.008933773548261798
ta005	13529	13529	0.0
ta006	13184	13123	0.004648327364169778
ta007	13633	13548	0.006273988780631828
ta008	13980	13948	0.002294235732721537
ta009	14352	14295	0.003987408184679958
ta010	12968	12943	0.0019315460094259445
ta011	20911	20911	0.0
ta012	22684	22440	0.010873440285204991
ta013	19898	19833	0.003277366006151364
ta014	18765	18710	0.002939604489577766
ta015	18748	18541	0.01116444636211639
ta016	19379	19245	0.006962847492855287
ta017	18377	18363	0.0007624026575178348
ta018	20349	20241	0.005335704757670075
ta019	20449	20330	0.005853418593212002
ta020	21349	21320	0.0013602251407129457
ta021	34011	33623	0.011539719834637004
ta022	31672	31587	0.0026909804666476714
ta023	34065	33920	0.004274764150943396
ta024	31924	31611	0.009901616525892885
ta025	34719	34557	0.004687906936366004
ta026	32623	32564	0.0018118167301314336
ta027	33211	32922	0.008778324524633983
ta028	32535	32412	0.003794890781192151
ta029	33690	33600	0.0026785714285714286
ta030	32444	32262	0.005641311759965284
ta031	65303	64802	0.007731242862874603
ta032	69076	68051	0.015062232737211797
ta033	64810	63162	0.026091637376903835
ta034	69548	68226	0.019376777181719578
ta035	70646	69351	0.018673126559097922
ta036	67975	66841	0.016965634864828473
ta037	66789	66253	0.008090199689070684
ta038	65544	64332	0.018839768699869426
ta039	63884	62981	0.014337657388736286
ta040	70241	68770	0.0213901410498764
ta041	90098	87114	0.034253966067451846
ta042	86116	82820	0.03979715044675199
ta043	81950	79931	0.025259286134290827
ta044	88118	86446	0.019341554265090346
ta045	88823	86377	0.02831772346805284
ta046	89848	86587	0.037661542725813346
ta047	90899	88750	0.024214084507042252
ta048	89215	86727	0.028687721240213543
ta049	87904	85441	0.028826909797404057
ta050	89934	87998	0.022000500011363895
ta051	131048	125831	0.04146037145059644
ta052	121896	119247	0.022214395330700142
ta053	120109	116459	0.0313415021595583
ta054	123965	120261	0.030799677368390416
ta055	122796	118184	0.039023894943477966
ta056	123951	120586	0.027905395319522994
ta057	126218	122880	0.027164713541666666
ta058	128381	122489	0.0481022785719534
ta059	126462	121872	0.03766246553761323
ta060	128077	123954	0.03326233925488488
ta061	257403	253266	0.016334604723887137
ta062	246473	242281	0.017302223451281778
ta063	240572	237832	0.01152073732718894
ta064	231476	227738	0.016413598082006518
ta065	244369	240301	0.016928768502836027
ta066	236010	232342	0.01578707250518632
ta067	244116	240366	0.01560120815755972
ta068	234809	230945	0.016731256359739332
ta069	251453	247921	0.014246473675081982
ta070	249097	242933	0.025373251060992124
ta071	308410	298385	0.033597533388072455
ta072	280933	274384	0.023868009796489592
ta073	300257	288114	0.04214651145032869
ta074	310094	301044	0.030062050730125828
ta075	293062	284681	0.029439969650240094
ta076	277530	269686	0.029085677417441023
ta077	290500	279463	0.03949360022614801
ta078	299375	290908	0.02910542164533117
ta079	314296	301970	0.04081862436665894
ta080	303934	291283	0.04343198882186739
ta081	385781	365463	0.05559523125460033
ta082	388957	372449	0.04432284688641935
ta083	388635	370027	0.050288222210811646
ta084	395837	372393	0.06295499646878432
ta085	385913	368915	0.04607565428350704
ta086	393168	370908	0.06001488239671293
ta087	398090	373408	0.0660992801439712
ta088	403200	384525	0.04856641310708017
ta089	395904	374423	0.05737094142186778
ta090	401771	379296	0.059254513625242554
ta091	1070833	1046314	0.023433691989211653
ta092	1053889	1034195	0.019042830413993492
ta093	1080527	1046902	0.032118574613478626
ta094	1053300	1030481	0.022144027886006633
ta095	1068506	1034027	0.03334439042694243
ta096	1026712	1006195	0.02039067973901679
ta097	1072026	1053051	0.018019070301438393
ta098	1055502	1044875	0.010170594568728316
ta099	1042116	1026137	0.015571994772627827
ta100	1050201	1030299	0.019316722621297314
ta101	1276718	1227733	0.03989874019839819
ta102	1301029	1245271	0.044775795790635134
ta103	1310217	1269673	0.031932631472828044
ta104	1286151	1238349	0.038601395890819144
ta105	1268307	1227214	0.03348478749427565
ta106	1277069	1227604	0.04029393843617323
ta107	1299951	1243707	0.04522287001681264
ta108	1293903	1246123	0.03834292441436359
ta109	1272084	1234936	0.030080911075553714
ta110	1297374	1250596	0.03740456550316809
ta111	6769531	6698656	0.01058048062178443
ta112	6912794	6770735	0.020981326251876643
ta113	6865837	6739645	0.018723834860738215
ta114	6918801	6785991	0.0195712019069875
ta115	6861538	6729486	0.01962289541875858
ta116	6792927	6724085	0.010238121618034276
ta117	6810722	6691468	0.017821799342087566
ta118	6852778	6783916	0.0101507742725588
ta119	6789282	6711305	0.011618753729714265
ta120	6860331	6755722	0.015484503358782377
