instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14041	14033	0.0005700848001140169
ta002	15199	15151	0.0031681077156623326
ta003	13425	13301	0.009322607322757687
ta004	15459	15447	0.0007768498737618955
ta005	13620	13529	0.006726291669746471
ta006	13150	13123	0.002057456374304656
ta007	13625	13548	0.005683495718925302
ta008	14064	13948	0.008316604531115572
ta009	14339	14295	0.0030779993004547046
ta010	12968	12943	0.0019315460094259445
ta011	21150	20911	0.011429391229496438
ta012	22440	22440	0.0
ta013	19978	19833	0.007311047244491504
ta014	18837	18710	0.0067878140032068416
ta015	18644	18541	0.0055552559193139525
ta016	19519	19245	0.014237464276435437
ta017	18377	18363	0.0007624026575178348
ta018	20309	20241	0.0033595178103848623
ta019	20349	20330	0.0009345794392523365
ta020	21335	21320	0.0007035647279549719
ta021	33623	33623	0.0
ta022	31811	31587	0.007091524994459746
ta023	34169	33920	0.007340801886792453
ta024	31833	31611	0.007022871785138085
ta025	34736	34557	0.005179847787713054
ta026	32610	32564	0.0014126028743397616
ta027	33050	32922	0.0038879776441285464
ta028	32666	32412	0.007836603727014686
ta029	33976	33600	0.01119047619047619
ta030	32577	32262	0.00976380881532453
ta031	65418	64802	0.00950587944816518
ta032	69076	68051	0.015062232737211797
ta033	64857	63162	0.02683575567588107
ta034	69568	68226	0.01966992055814499
ta035	70606	69351	0.018096350449164397
ta036	67831	66841	0.014811268532786763
ta037	66832	66253	0.008739226902932697
ta038	65349	64332	0.015808617795187465
ta039	63825	62981	0.01340086692812118
ta040	70036	68770	0.01840919005380253
ta041	89810	87114	0.030947953256652203
ta042	84931	82820	0.02548901231586573
ta043	82122	79931	0.027411142110069935
ta044	88527	86446	0.02407283159429008
ta045	89225	86377	0.032971740162311726
ta046	89581	86587	0.03457793895157472
ta047	90818	88750	0.023301408450704227
ta048	89918	86727	0.03679361675141536
ta049	87712	85441	0.026579745087253193
ta050	90170	87998	0.024682379144980567
ta051	129972	125831	0.03290921950870612
ta052	122166	119247	0.024478603235301516
ta053	120252	116459	0.03256940210717935
ta054	125696	120261	0.04519337108455775
ta055	123611	118184	0.045919921478372705
ta056	124767	120586	0.034672350024049226
ta057	126423	122880	0.0288330078125
ta058	127552	122489	0.04133432389847252
ta059	126462	121872	0.03766246553761323
ta060	129141	123954	0.04184616874001646
ta061	257447	253266	0.016508335110121373
ta062	246466	242281	0.017273331379678968
ta063	240515	237832	0.011281072353594135
ta064	231212	227738	0.015254371251174596
ta065	244115	240301	0.01587176083328825
ta066	236109	232342	0.016213168518821392
ta067	244429	240366	0.01690338899844404
ta068	234862	230945	0.016960748230098074
ta069	251946	247921	0.016235010346037648
ta070	248213	242933	0.02173438767067463
ta071	308510	298385	0.033932670878227794
ta072	281250	274384	0.025023324975217212
ta073	298920	288114	0.037505987213394695
ta074	310819	301044	0.03247033656209723
ta075	293370	284681	0.030521882387654953
ta076	277511	269686	0.02901522511365069
ta077	291507	279463	0.04309693948751713
ta078	299332	290908	0.028957608591032215
ta079	313795	301970	0.039159519157532206
ta080	303730	291283	0.042731638990260334
ta081	386435	365463	0.05738474209427493
ta082	391443	372449	0.0509975862467076
ta083	389440	370027	0.052463739132549786
ta084	395384	372393	0.061738539661057
ta085	385120	368915	0.04392610763997127
ta086	393498	370908	0.06090459089585558
ta087	395433	373408	0.058983738966492415
ta088	402003	384525	0.045453481568168516
ta089	396137	374423	0.057993232253360505
ta090	398963	379296	0.05185132455918333
ta091	1070833	1046314	0.023433691989211653
ta092	1053584	1034195	0.018747915045035028
ta093	1080505	1046902	0.0320975602300884
ta094	1054705	1030481	0.023507468842220283
ta095	1068461	1034027	0.033300871253845406
ta096	1027156	1006195	0.020831946093947992
ta097	1072094	1053051	0.018083644571820358
ta098	1055502	1044875	0.010170594568728316
ta099	1042530	1026137	0.0159754496719249
ta100	1050262	1030299	0.019375928735250642
ta101	1276943	1227733	0.04008200480071807
ta102	1301709	1245271	0.045321861667058816
ta103	1311269	1269673	0.03276119126735782
ta104	1286898	1238349	0.0392046184072503
ta105	1270952	1227214	0.03564007581399821
ta106	1277242	1227604	0.04043486335984568
ta107	1298151	1243707	0.04377558379907808
ta108	1294986	1246123	0.03921202000123583
ta109	1273320	1234936	0.031081772658664093
ta110	1297704	1250596	0.03766843968795678
ta111	6770710	6698656	0.010756486077207129
ta112	6910869	6770735	0.020697014430486497
ta113	6871170	6739645	0.019515122829169784
ta114	6918801	6785991	0.0195712019069875
ta115	6861538	6729486	0.01962289541875858
ta116	6793473	6724085	0.010319322257229051
ta117	6810722	6691468	0.017821799342087566
ta118	6852778	6783916	0.0101507742725588
ta119	6789282	6711305	0.011618753729714265
ta120	6860331	6755722	0.015484503358782377
