instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14033	14033	0.0
ta002	15151	15151	0.0
ta003	13387	13301	0.00646567927223517
ta004	15447	15447	0.0
ta005	13529	13529	0.0
ta006	13123	13123	0.0
ta007	13557	13548	0.0006643046944198405
ta008	13953	13948	0.0003584743332377402
ta009	14295	14295	0.0
ta010	12976	12943	0.0025496407324422468
ta011	20911	20911	0.0
ta012	22440	22440	0.0
ta013	19833	19833	0.0
ta014	18751	18710	0.0021913415285943344
ta015	18641	18541	0.005393452348848498
ta016	19350	19245	0.005455962587685113
ta017	18376	18363	0.0007079453248379895
ta018	20241	20241	0.0
ta019	20330	20330	0.0
ta020	21332	21320	0.0005628517823639775
ta021	33623	33623	0.0
ta022	31604	31587	0.0005381960933295343
ta023	33920	33920	0.0
ta024	31698	31611	0.0027522065103919523
ta025	34591	34557	0.0009838817026940996
ta026	32564	32564	0.0
ta027	33038	32922	0.003523479739991495
ta028	32420	32412	0.0002468221646303838
ta029	33758	33600	0.004702380952380953
ta030	32279	32262	0.0005269357138429112
ta031	65181	64802	0.005848584920218512
ta032	68979	68051	0.013636831200129314
ta033	64337	63162	0.018602957474430828
ta034	69228	68226	0.014686483158913024
ta035	70153	69351	0.011564361004167207
ta036	67495	66841	0.00978441375802277
ta037	66767	66253	0.007758139254071514
ta038	65288	64332	0.014860411614748492
ta039	63683	62981	0.011146218700878043
ta040	69582	68770	0.011807474189326742
ta041	89335	87114	0.025495327961062516
ta042	84651	82820	0.022108186428398936
ta043	82122	79931	0.027411142110069935
ta044	88027	86446	0.01828887397913148
ta045	88177	86377	0.020838880720562187
ta046	87755	86587	0.013489322877568226
ta047	90527	88750	0.020022535211267605
ta048	88562	86727	0.021158347458115696
ta049	86896	85441	0.017029295069112018
ta050	89069	87998	0.01217073115298075
ta051	127889	125831	0.01635527016395006
ta052	121766	119247	0.021124221154410594
ta053	119660	116459	0.027486068058286607
ta054	123799	120261	0.029419346255228213
ta055	122402	118184	0.03569011033642456
ta056	123702	120586	0.02584047899424477
ta057	124893	122880	0.0163818359375
ta058	125198	122489	0.022116271665210754
ta059	124810	121872	0.024107260076145463
ta060	126834	123954	0.023234425674040368
ta061	256739	253266	0.01371285525889776
ta062	245862	242281	0.01478035834423665
ta063	240337	237832	0.010532644892192808
ta064	230877	227738	0.013783382659020453
ta065	243662	240301	0.013986625107677455
ta066	235720	232342	0.0145389124652452
ta067	243558	240366	0.013279748383714835
ta068	234393	230945	0.014929961679187686
ta069	251109	247921	0.012858934902650441
ta070	246156	242933	0.013267032473974306
ta071	306351	298385	0.026697052465774085
ta072	280122	274384	0.020912298093183276
ta073	298087	288114	0.03461477054221593
ta074	308822	301044	0.025836754760101513
ta075	292309	284681	0.026794903769482334
ta076	276548	269686	0.025444405716277447
ta077	289067	279463	0.03436590890386205
ta078	297632	290908	0.023113836676887538
ta079	310473	301970	0.028158426333741764
ta080	300591	291283	0.031955177610777145
ta081	381176	365463	0.04299477648900162
ta082	385336	372449	0.034600710432837786
ta083	384055	370027	0.03791074705359339
ta084	390343	372393	0.04820176533930552
ta085	382630	368915	0.03717658539229904
ta086	388954	370908	0.048653574471297464
ta087	389805	373408	0.04391175336361299
ta088	398875	384525	0.03731876991092907
ta089	391048	374423	0.044401652676251194
ta090	394921	379296	0.041194739728338814
ta091	1066872	1046314	0.01964802153082153
ta092	1051046	1034195	0.016293832401046225
ta093	1077911	1046902	0.029619773388531112
ta094	1049815	1030481	0.018762112062231134
ta095	1065034	1034027	0.02998664444932289
ta096	1024418	1006195	0.018110803571872253
ta097	1070427	1053051	0.01650062532583892
ta098	1053173	1044875	0.007941619810982174
ta099	1038816	1026137	0.012356049923158408
ta100	1044884	1030299	0.014156084787037549
ta101	1265707	1227733	0.03093017781553481
ta102	1284867	1245271	0.031797094768929814
ta103	1301607	1269673	0.025151357869309658
ta104	1283302	1238349	0.03630075204970489
ta105	1261717	1227214	0.028114900905628522
ta106	1264482	1227604	0.030040631995334
ta107	1290822	1243707	0.03788271674920218
ta108	1285027	1246123	0.031220032051410655
ta109	1266853	1234936	0.025845064035707115
ta110	1288776	1250596	0.030529443561309967
ta111	6766575	6698656	0.010139198071971452
ta112	6901840	6770735	0.019363481217327217
ta113	6859141	6739645	0.01773031072111365
ta114	6906909	6785991	0.017818768106235332
ta115	6854737	6729486	0.01861226845557001
ta116	6789392	6724085	0.009712399530939898
ta117	6800837	6691468	0.01634454502360319
ta118	6848985	6783916	0.009591657679723628
ta119	6787350	6711305	0.011330881251857872
ta120	6853343	6755722	0.014450120949322662
