instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14041	14033	0.0005700848001140169
ta002	15151	15151	0.0
ta003	13301	13301	0.0
ta004	15447	15447	0.0
ta005	13529	13529	0.0
ta006	13147	13123	0.0018288501104930274
ta007	13557	13548	0.0006643046944198405
ta008	13948	13948	0.0
ta009	14295	14295	0.0
ta010	12943	12943	0.0
ta011	20911	20911	0.0
ta012	22440	22440	0.0
ta013	19916	19833	0.004184944284777895
ta014	18751	18710	0.0021913415285943344
ta015	18735	18541	0.010463297556766086
ta016	19350	19245	0.005455962587685113
ta017	18363	18363	0.0
ta018	20241	20241	0.0
ta019	20404	20330	0.0036399409739301526
ta020	21332	21320	0.0005628517823639775
ta021	33823	33623	0.005948309193111858
ta022	31618	31587	0.0009814164054832684
ta023	33920	33920	0.0
ta024	31707	31611	0.003036917528708361
ta025	34586	34557	0.0008391932170037908
ta026	32587	32564	0.0007063014371698808
ta027	32922	32922	0.0
ta028	32467	32412	0.0016969023818338886
ta029	33600	33600	0.0
ta030	32315	32262	0.001642799578451429
ta031	65336	64802	0.008240486404740595
ta032	68791	68051	0.010874197293206565
ta033	64419	63162	0.019901206421582596
ta034	69300	68226	0.0157417993140445
ta035	70192	69351	0.012126717711352396
ta036	67558	66841	0.010726949028291018
ta037	66831	66253	0.008724133246796372
ta038	65272	64332	0.014611701796928434
ta039	63715	62981	0.011654308442228608
ta040	69531	68770	0.011065871746401047
ta041	89654	87114	0.029157196317469065
