instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14033	14033	0.0
ta002	15151	15151	0.0
ta003	13301	13301	0.0
ta004	15484	15447	0.0023952871107658447
ta005	13529	13529	0.0
ta006	13123	13123	0.0
ta007	13559	13548	0.0008119279598464718
ta008	13948	13948	0.0
ta009	14338	14295	0.0030080447708989155
ta010	12943	12943	0.0
ta011	20958	20911	0.002247620869398881
ta012	22440	22440	0.0
ta013	19833	19833	0.0
ta014	18833	18710	0.006574024585783004
ta015	18644	18541	0.0055552559193139525
ta016	19335	19245	0.004676539360872954
ta017	18377	18363	0.0007624026575178348
ta018	20268	20241	0.0013339261894175188
ta019	20330	20330	0.0
ta020	21320	21320	0.0
ta021	33776	33623	0.004550456532730571
ta022	31628	31587	0.0012980023427359357
ta023	33920	33920	0.0
ta024	31768	31611	0.004966625541741799
ta025	34638	34557	0.002343953468183002
ta026	32564	32564	0.0
ta027	33039	32922	0.003553854565336249
ta028	32461	32412	0.0015117857583611008
ta029	33600	33600	0.0
ta030	32262	32262	0.0
ta031	65220	64802	0.006450418196969229
ta032	68958	68051	0.013328239114781561
ta033	63931	63162	0.012175041955606218
ta034	69385	68226	0.01698765866385249
ta035	70174	69351	0.01186716846188231
ta036	67411	66841	0.008527700064331772
ta037	66752	66253	0.0075317344120266255
ta038	65273	64332	0.014627246160542187
ta039	63464	62981	0.007668979533510106
ta040	69540	68770	0.011196742765740876
ta041	89659	87114	0.02921459237321211
ta042	84940	82820	0.02559768171939145
ta043	81542	79931	0.02015488358709387
ta044	88393	86446	0.022522730953427574
ta045	88357	86377	0.022922768792618405
ta046	88958	86587	0.027382863478351255
ta047	90718	88750	0.022174647887323942
ta048	88932	86727	0.025424608253485075
ta049	87572	85441	0.02494118748610152
ta050	89876	87998	0.021341394122593695
ta051	128055	125831	0.017674499924501912
ta052	121497	119247	0.018868399205011446
ta053	120049	116459	0.030826299384332685
ta054	123470	120261	0.026683629771912756
ta055	121524	118184	0.028261016719691327
ta056	123245	120586	0.022050652646244173
ta057	127903	122880	0.040877278645833334
ta058	126113	122489	0.02958633020107928
ta059	124902	121872	0.024862150452934224
ta060	126282	123954	0.018781160753182632
ta061	256518	253266	0.01284025490985762
ta062	245904	242281	0.0149537107738535
ta063	240225	237832	0.01006172424232231
ta064	230675	227738	0.01289639849300512
ta065	243663	240301	0.01399078655519536
ta066	235724	232342	0.014556128465796112
ta067	243497	240366	0.01302596873101853
ta068	234497	230945	0.015380285349325597
ta069	250809	247921	0.011648872019715957
ta070	246314	242933	0.01391741755957404
ta071	306830	298385	0.028302361043618145
ta072	279669	274384	0.01926132719108986
ta073	295798	288114	0.02666999868107763
ta074	308825	301044	0.025846720080785535
ta075	292310	284681	0.026798416473175237
ta076	276831	269686	0.026493774241154528
ta077	289569	279463	0.0361622110977124
ta078	297845	290908	0.02384602692260096
ta079	310730	301970	0.029009504255389607
ta080	301035	291283	0.03347946842074546
ta081	384536	365463	0.05218859364696289
ta082	386640	372449	0.03810186092592543
ta083	383953	370027	0.03763509149332346
ta084	389976	372393	0.04721624735158824
ta085	381730	368915	0.034736999037718715
ta086	388426	370908	0.047230040872669236
ta087	392322	373408	0.05065236952609478
ta088	398370	384525	0.036005461283401596
ta089	393793	374423	0.05173293307302169
ta090	396466	379296	0.04526807559267696
ta091	1067633	1046314	0.02037533665802044
ta092	1051283	1034195	0.01652299614676149
ta093	1077161	1046902	0.028903373954773225
ta094	1050004	1030481	0.018945521557408626
ta095	1066486	1034027	0.03139086310125364
ta096	1025512	1006195	0.019198067968932465
ta097	1071128	1053051	0.01716631008374713
ta098	1053956	1044875	0.008690991745424094
ta099	1040601	1026137	0.014095583728098684
ta100	1044993	1030299	0.014261879318527923
ta101	1268719	1227733	0.03338347995859035
ta102	1295232	1245271	0.040120584194123204
ta103	1305309	1269673	0.028067069237512336
ta104	1285227	1238349	0.03785524113153885
ta105	1267208	1227214	0.03258926316029641
ta106	1271706	1227604	0.03592526580232713
ta107	1293024	1243707	0.0396532302222308
ta108	1288850	1246123	0.03428794749795967
ta109	1268834	1234936	0.02744919574779584
ta110	1292888	1250596	0.03381747582752544
ta111	6769328	6698656	0.010550176035312157
ta112	6910958	6770735	0.020710159236774148
ta113	6870994	6739645	0.0194890086940781
ta114	6907251	6785991	0.017869166051060193
ta115	6849584	6729486	0.0178465338957537
ta116	6792924	6724085	0.010237675460676061
ta117	6804163	6691468	0.0168415958949516
ta118	6851466	6783916	0.009957375651467383
ta119	6789282	6711305	0.011618753729714265
ta120	6852928	6755722	0.014388691541777474
