instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14041	14033	0.0005700848001140169
ta002	15238	15151	0.005742195234637978
ta003	13334	13301	0.002481016464927449
ta004	15571	15447	0.008027448695539587
ta005	13592	13529	0.004656663463670633
ta006	13147	13123	0.0018288501104930274
ta007	13578	13548	0.0022143489813994687
ta008	14004	13948	0.00401491253226269
ta009	14381	14295	0.006016089541797831
ta010	12993	12943	0.003863092018851889
ta011	21165	20911	0.01214671703887906
ta012	22809	22440	0.01644385026737968
ta013	19916	19833	0.004184944284777895
ta014	18806	18710	0.0051309460181721
ta015	18713	18541	0.009276738040019416
ta016	19357	19245	0.00581969342686412
ta017	18419	18363	0.003049610630071339
ta018	20268	20241	0.0013339261894175188
ta019	20472	20330	0.006984751598622725
ta020	21375	21320	0.0025797373358348967
ta021	33816	33623	0.005740118371352943
ta022	31837	31587	0.00791464843131668
ta023	34110	33920	0.005601415094339622
ta024	31717	31611	0.003353263104615482
ta025	34889	34557	0.009607315449836501
ta026	32589	32564	0.0007677189534455226
ta027	33050	32922	0.0038879776441285464
ta028	32456	32412	0.001357521905467111
ta029	33764	33600	0.004880952380952381
ta030	32666	32262	0.012522472258384477
ta031	65363	64802	0.008657140211721861
ta032	68937	68051	0.013019647029433807
ta033	64120	63162	0.015167347455748709
ta034	69242	68226	0.014891683522410812
ta035	70012	69351	0.009531225216651526
ta036	67515	66841	0.010083631304139674
ta037	66783	66253	0.007999637752252728
ta038	65405	64332	0.01667910215755767
ta039	63684	62981	0.011162096505295248
ta040	69700	68770	0.013523338665115603
ta041	89582	87114	0.028330693114769153
ta042	84558	82820	0.02098526925863318
ta043	81208	79931	0.015976279541104203
ta044	87687	86446	0.014355782800823636
ta045	88195	86377	0.02104726952776781
ta046	88488	86587	0.02195479690946678
ta047	90527	88750	0.020022535211267605
ta048	88907	86727	0.02513634738893309
ta049	87904	85441	0.028826909797404057
ta050	89839	87998	0.020920930021136843
ta051	128296	125831	0.019589767227471768
ta052	122018	119247	0.023237481865371876
ta053	119127	116459	0.02290935007169905
ta054	123990	120261	0.031007558560131713
ta055	121312	118184	0.026467203682393557
ta056	123898	120586	0.027465874977194698
ta057	126328	122880	0.028059895833333334
