instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14041	14033	0.0005700848001140169
ta002	15267	15151	0.007656260312850637
ta003	13346	13301	0.0033832042703556124
ta004	15520	15447	0.004725836732051531
ta005	13618	13529	0.006578461083598197
ta006	13184	13123	0.004648327364169778
ta007	13577	13548	0.002140537348686153
ta008	14023	13948	0.005377114998566103
ta009	14381	14295	0.006016089541797831
ta010	13020	12943	0.005949161709031909
ta011	21124	20911	0.010186026493233226
ta012	22473	22440	0.0014705882352941176
ta013	19980	19833	0.007411889275450008
ta014	18838	18710	0.006841261357562801
ta015	18713	18541	0.009276738040019416
ta016	19397	19245	0.007898155365029878
ta017	18377	18363	0.0007624026575178348
ta018	20341	20241	0.004940467368213033
ta019	20429	20330	0.004869650762420069
ta020	21343	21320	0.001078799249530957
ta021	34273	33623	0.019332004877613537
ta022	31826	31587	0.007566403900338747
ta023	34097	33920	0.00521816037735849
ta024	31801	31611	0.006010565942235297
ta025	34672	34557	0.0033278351708771014
ta026	32693	32564	0.003961429799778897
ta027	33097	32922	0.005315594435331997
ta028	32499	32412	0.002684191040355424
ta029	33917	33600	0.00943452380952381
ta030	32279	32262	0.0005269357138429112
ta031	65466	64802	0.010246597327242986
ta032	68964	68051	0.013416408282023777
ta033	64970	63162	0.028624806054273137
ta034	69545	68226	0.019332805675255766
ta035	70814	69351	0.021095586220818734
ta036	67920	66841	0.016142786613006988
ta037	66873	66253	0.00935806680452206
ta038	65873	64332	0.02395386432879438
ta039	63970	62981	0.015703148568615932
ta040	70067	68770	0.018859968009306383
ta041	90169	87114	0.035068990059003144
ta042	86331	82820	0.04239314175319971
ta043	82088	79931	0.026985775231136856
ta044	88731	86446	0.026432686301274783
ta045	88829	86377	0.028387186403788046
ta046	89980	86587	0.03918602099622345
ta047	90801	88750	0.023109859154929576
ta048	90062	86727	0.03845399933123479
ta049	87753	85441	0.027059608384733324
ta050	91000	87998	0.0341144116911748
ta051	129342	125831	0.02790250415239488
ta052	122577	119247	0.02792523082341694
ta053	120469	116459	0.03443271881091199
ta054	125582	120261	0.044245432850217446
ta055	125868	118184	0.06501726121979287
ta056	124751	120586	0.034539664637685964
ta057	127906	122880	0.04090169270833333
ta058	126961	122489	0.036509400844157436
ta059	126525	121872	0.03817940133910989
ta060	129300	123954	0.043128902657437435
ta061	257576	253266	0.017017681015217202
ta062	246612	242281	0.01787593744453754
ta063	240572	237832	0.01152073732718894
ta064	231486	227738	0.016457508189235
ta065	244391	240301	0.01702032034822993
ta066	236276	232342	0.01693193654182197
ta067	244500	240366	0.017198771872893835
ta068	234930	230945	0.017255190629803633
ta069	252080	247921	0.01677550510041505
ta070	248800	242933	0.024150691754516677
ta071	308555	298385	0.034083482748797696
ta072	282244	274384	0.028645985188640737
ta073	300334	288114	0.042413766772874624
ta074	310616	301044	0.03179601652914524
ta075	293669	284681	0.031572180791833666
ta076	277721	269686	0.029793908471333327
ta077	292164	279463	0.04544787682090295
ta078	299464	290908	0.029411360292601097
ta079	314726	301970	0.042242606881478295
ta080	303869	291283	0.04320883814022789
ta081	386304	365463	0.0570262926753187
ta082	390858	372449	0.049426901401265676
ta083	390262	370027	0.05468519864766625
ta084	395958	372393	0.06327992201786822
ta085	385953	368915	0.04618408034371061
ta086	393494	370908	0.06089380655041142
ta087	397859	373408	0.06548065386922615
ta088	404194	384525	0.051151420583837204
ta089	398747	374423	0.06496395787651933
ta090	400777	379296	0.056633869062684555
ta091	1072771	1046314	0.02528590843666433
ta092	1054022	1034195	0.0191714328535721
ta093	1082001	1046902	0.033526538300624124
ta094	1058146	1030481	0.026846686159181975
ta095	1068146	1034027	0.03299623704216621
ta096	1028138	1006195	0.02180790005913367
ta097	1072393	1053051	0.01836758143717636
ta098	1055587	1044875	0.01025194401244168
ta099	1042763	1026137	0.016202514868872284
ta100	1052298	1030299	0.02135205411244697
ta101	1277940	1227733	0.040894070616331074
ta102	1298962	1245271	0.04311591613391784
ta103	1312731	1269673	0.03391266885253132
ta104	1287827	1238349	0.03995481080050939
ta105	1270337	1227214	0.03513894072264495
ta106	1276988	1227604	0.040227956246476876
ta107	1302145	1243707	0.046986951106651326
ta108	1293964	1246123	0.038391876243356396
ta109	1272356	1234936	0.030301165404522986
ta110	1297119	1250596	0.03720066272401319
ta111	6770710	6698656	0.010756486077207129
ta112	6916030	6770735	0.021459265500717428
ta113	6871170	6739645	0.019515122829169784
ta114	6918801	6785991	0.0195712019069875
ta115	6861538	6729486	0.01962289541875858
ta116	6793473	6724085	0.010319322257229051
ta117	6810722	6691468	0.017821799342087566
ta118	6852778	6783916	0.0101507742725588
ta119	6789282	6711305	0.011618753729714265
ta120	6860331	6755722	0.015484503358782377
