instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14034	14033	7.126060001425212e-05
ta002	15159	15151	0.0005280179526103888
ta003	13301	13301	0.0
ta004	15447	15447	0.0
ta005	13529	13529	0.0
ta006	13123	13123	0.0
ta007	13608	13548	0.0044286979627989375
ta008	13948	13948	0.0
ta009	14295	14295	0.0
ta010	12943	12943	0.0
ta011	20975	20911	0.003060590120032519
ta012	22440	22440	0.0
ta013	19877	19833	0.0022185246810870773
ta014	18769	18710	0.0031533939070016036
ta015	18641	18541	0.005393452348848498
ta016	19378	19245	0.0069108859444011435
ta017	18363	18363	0.0
ta018	20241	20241	0.0
ta019	20330	20330	0.0
ta020	21335	21320	0.0007035647279549719
ta021	33623	33623	0.0
ta022	31587	31587	0.0
ta023	33920	33920	0.0
ta024	31738	31611	0.004017588814020436
ta025	34591	34557	0.0009838817026940996
ta026	32564	32564	0.0
ta027	32922	32922	0.0
ta028	32467	32412	0.0016969023818338886
ta029	33600	33600	0.0
ta030	32279	32262	0.0005269357138429112
ta031	65146	64802	0.005308478133390945
ta032	68937	68051	0.013019647029433807
ta033	64385	63162	0.01936290807764162
ta034	69459	68226	0.018072289156626505
ta035	69835	69351	0.006978990930195671
ta036	67377	66841	0.008019030235933035
ta037	66704	66253	0.006807238917482982
ta038	65372	64332	0.0161661381583038
ta039	63626	62981	0.010241183849097347
ta040	69622	68770	0.012389123164170424
ta041	89557	87114	0.028043712836053905
ta042	84722	82820	0.02296546727843516
ta043	81194	79931	0.015801128473308227
ta044	88093	86446	0.019052356384332416
ta045	88156	86377	0.020595760445488963
ta046	88966	86587	0.02747525610080035
ta047	90557	88750	0.02036056338028169
ta048	88949	86727	0.025620625641380422
ta049	87383	85441	0.022729134724546764
ta050	89794	87998	0.02040955476260824
ta051	127940	125831	0.016760575692794304
ta052	121253	119247	0.016822226135667983
ta053	118915	116459	0.021088966932568544
ta054	122646	120261	0.01983186569211964
ta055	121372	118184	0.026974886617477833
ta056	123285	120586	0.022382366112152323
ta057	126477	122880	0.0292724609375
ta058	125935	122489	0.028133138485904857
ta059	125397	121872	0.028923788893265065
ta060	127250	123954	0.026590509382512867
ta061	256776	253266	0.013858946720049276
ta062	246098	242281	0.01575443390113133
ta063	240270	237832	0.010250933432002422
ta064	230804	227738	0.013462838876252535
ta065	243587	240301	0.013674516543834607
ta066	235693	232342	0.014422704461526542
ta067	243105	240366	0.01139512243828162
ta068	234292	230945	0.014492628114919137
ta069	250798	247921	0.011604503047341693
ta070	246114	242933	0.013094145299321212
ta071	306906	298385	0.0285570655361362
ta072	280254	274384	0.021393375707038313
ta073	297728	288114	0.03336873598644981
ta074	308872	301044	0.026002843438168506
ta075	291579	284681	0.024230630073661396
ta076	276840	269686	0.02652714638505521
ta077	288826	279463	0.03350354071916497
ta078	297142	290908	0.0214294553604576
ta079	311027	301970	0.029993045666788093
ta080	299930	291283	0.029685906832873872
ta081	381868	365463	0.0448882650227246
ta082	386890	372449	0.03877309376585788
ta083	385596	370027	0.04207530801806355
ta084	389347	372393	0.045527171563375254
ta085	382345	368915	0.0364040497133486
ta086	389922	370908	0.05126338606878256
ta087	393101	373408	0.05273855943097095
ta088	396515	384525	0.03118132761198882
ta089	389906	374423	0.0413516263691066
ta090	396358	379296	0.04498333755167468
ta091	1066799	1046314	0.019578252799828732
ta092	1052507	1034195	0.01770652536513907
ta093	1076841	1046902	0.02859771019636986
ta094	1050747	1030481	0.019666544070196346
ta095	1066417	1034027	0.031324133702504864
ta096	1025675	1006195	0.019360064401035583
ta097	1070454	1053051	0.01652626510966705
ta098	1053646	1044875	0.008394305538940064
ta099	1040366	1026137	0.013866569473666771
ta100	1044869	1030299	0.014141525906557222
ta101	1269040	1227733	0.03364493745790005
ta102	1288931	1245271	0.0350606414186149
ta103	1307757	1269673	0.029995124728965646
ta104	1282528	1238349	0.035675726309788276
ta105	1267146	1227214	0.032538742224257546
ta106	1266346	1227604	0.03155903695328461
ta107	1292103	1243707	0.03891270210748995
ta108	1287894	1246123	0.033520768014072444
ta109	1268329	1234936	0.027040267673790384
ta110	1292865	1250596	0.033799084596464406
ta111	6769943	6698656	0.010641985496792192
ta112	6914809	6770735	0.021278930574007107
ta113	6869431	6739645	0.01925709736937183
ta114	6917922	6785991	0.0194416703470429
ta115	6849584	6729486	0.0178465338957537
ta116	6793048	6724085	0.010256116631482202
ta117	6808324	6691468	0.017463432538271123
ta118	6852579	6783916	0.010121440182926794
ta119	6789208	6711305	0.011607727558202168
ta120	6853343	6755722	0.014450120949322662
