instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14144	14033	0.007909926601581985
ta002	15199	15151	0.0031681077156623326
ta003	13301	13301	0.0
ta004	15568	15447	0.007833236227099112
ta005	13613	13529	0.006208884618227511
ta006	13205	13123	0.006248571210851177
ta007	13559	13548	0.0008119279598464718
ta008	14058	13948	0.007886435331230283
ta009	14385	14295	0.0062959076600209865
ta010	13080	12943	0.010584872131654176
ta011	21278	20911	0.017550571469561474
ta012	22989	22440	0.02446524064171123
ta013	19950	19833	0.005899258811072455
ta014	18904	18710	0.010368786745056119
ta015	18789	18541	0.013375761825144274
ta016	19425	19245	0.009353078721745909
ta017	18518	18363	0.008440886565376027
ta018	20377	20241	0.006719035620769725
ta019	20566	20330	0.01160846040334481
ta020	21356	21320	0.0016885553470919325
ta021	34005	33623	0.011361270558843648
ta022	32029	31587	0.013993098426567891
ta023	34124	33920	0.006014150943396227
ta024	32145	31611	0.016892853753440257
ta025	34671	34557	0.00329889747373904
ta026	32631	32564	0.002057486795234001
ta027	33134	32922	0.0064394629730879045
ta028	32541	32412	0.0039800074046649385
ta029	33923	33600	0.009613095238095238
ta030	32493	32262	0.0071601264645713225
ta031	65541	64802	0.011403969013302059
ta032	69044	68051	0.014591997178586648
ta033	65172	63162	0.03182293150945188
ta034	69643	68226	0.020769208219740275
ta035	71085	69351	0.025003244365618377
ta036	68165	66841	0.019808201552939064
ta037	66994	66253	0.011184399197017494
ta038	65815	64332	0.02305229123919667
ta039	64402	62981	0.022562360076848573
ta040	70354	68770	0.0230332994038098
ta041	90126	87114	0.03457538397961292
ta042	86176	82820	0.04052161313692345
ta043	82364	79931	0.030438753424828914
ta044	88810	86446	0.027346551604469842
ta045	89000	86377	0.030366880072241455
ta046	90345	86587	0.043401434395463526
ta047	91120	88750	0.026704225352112677
ta048	90771	86727	0.046629077449929085
ta049	88002	85441	0.029973900118210228
ta050	90271	87998	0.025830132503011433
ta051	131354	125831	0.0438922046236619
ta052	122449	119247	0.026851828557531845
ta053	120974	116459	0.03876900883572759
ta054	126697	120261	0.05351693400187925
ta055	126098	118184	0.06696337913761592
ta056	125267	120586	0.038818768347901086
ta057	129702	122880	0.055517578125
ta058	129143	122489	0.05432324535264391
ta059	126794	121872	0.040386635158198764
ta060	129640	123954	0.045871855688400534
ta061	257975	253266	0.018593099744932205
ta062	246678	242281	0.01814834840536402
ta063	240581	237832	0.011558579165124962
ta064	231660	227738	0.01722154405501058
ta065	244492	240301	0.017440626547538297
ta066	236120	232342	0.0162605125203364
ta067	244542	240366	0.017373505404258506
ta068	235050	230945	0.017774794864578145
ta069	252316	247921	0.017727421234990177
ta070	249628	242933	0.02755903891196338
ta071	309086	298385	0.03586306282152253
ta072	283803	274384	0.03432780337045892
ta073	301280	288114	0.045697189307010416
ta074	311034	301044	0.033184517877785306
ta075	293969	284681	0.03262599189970528
ta076	278114	269686	0.03125115875499655
ta077	292897	279463	0.04807076428722228
ta078	298934	290908	0.02758947846054423
ta079	315740	301970	0.045600556346656954
ta080	305989	291283	0.050486983449085594
ta081	386336	365463	0.05711385283872786
ta082	390868	372449	0.04945375071486297
ta083	391029	370027	0.056758020360676384
ta084	397059	372393	0.06623647598102005
ta085	387270	368915	0.04975400837591315
ta086	394236	370908	0.06289430263030185
ta087	398341	373408	0.0667714671351444
ta088	403483	384525	0.04930238606072427
ta089	400248	374423	0.06897279280386087
ta090	401707	379296	0.059085779971315276
ta091	1072771	1046314	0.02528590843666433
ta092	1054338	1034195	0.01947698451452579
ta093	1085771	1046902	0.03712763945431378
ta094	1058423	1030481	0.027115492667987087
ta095	1068701	1034027	0.033532973510362885
ta096	1028389	1006195	0.02205735468770964
ta097	1072522	1053051	0.01849008262657744
ta098	1056050	1044875	0.010695059217609762
ta099	1044260	1026137	0.017661384396040685
ta100	1055178	1030299	0.024147359164669674
ta101	1279341	1227733	0.04203519820677623
ta102	1300174	1245271	0.0440891982548377
ta103	1312731	1269673	0.03391266885253132
ta104	1288728	1238349	0.04068239244348726
ta105	1271488	1227214	0.036076837454592274
ta106	1281454	1227604	0.04386593722405597
ta107	1303158	1243707	0.047801451628076384
ta108	1297558	1246123	0.04127602170893242
ta109	1276789	1234936	0.03389082511158473
ta110	1295730	1250596	0.03608999229167533
ta111	6770710	6698656	0.010756486077207129
ta112	6917121	6770735	0.021620400148580618
ta113	6871170	6739645	0.019515122829169784
ta114	6921363	6785991	0.019948744405938645
ta115	6861538	6729486	0.01962289541875858
ta116	6793473	6724085	0.010319322257229051
ta117	6810722	6691468	0.017821799342087566
ta118	6852778	6783916	0.0101507742725588
ta119	6789282	6711305	0.011618753729714265
ta120	6860331	6755722	0.015484503358782377
